(Q-Qo)/mA.h	I/mA	time/s	Ecell/V	
1.972700258499285E+000	1.3610432E-001	5.219486047912273E+004	3.6537364E+000
1.974968390073429E+000	1.3608263E-001	5.225486048197257E+004	3.6539726E+000
1.977236519729288E+000	1.3608658E-001	5.231486048482242E+004	3.6540515E+000
1.979504651476393E+000	1.3609250E-001	5.237486048767227E+004	3.6543667E+000
1.981772779939257E+000	1.3607672E-001	5.243486049052211E+004	3.6544061E+000
1.984040913528709E+000	1.3609053E-001	5.249486049337196E+004	3.6547606E+000
1.986309047433014E+000	1.3609643E-001	5.255486049622181E+004	3.6549969E+000
1.988577184394523E+000	1.3608855E-001	5.261486049907166E+004	3.6552727E+000
1.990845323563947E+000	1.3609447E-001	5.267486050192150E+004	3.6554697E+000
1.993113462676207E+000	1.3608658E-001	5.273486050477135E+004	3.6555483E+000
1.995381604052169E+000	1.3608658E-001	5.279486050762120E+004	3.6559818E+000
1.997649745533963E+000	1.3608855E-001	5.285486051047104E+004	3.6560998E+000
1.999917885786312E+000	1.3608067E-001	5.291486051332089E+004	3.6562574E+000
2.002186028133416E+000	1.3608462E-001	5.297486051617074E+004	3.6564939E+000
2.004454172245330E+000	1.3608658E-001	5.303486051902059E+004	3.6566908E+000
2.006722311119512E+000	1.3608855E-001	5.309486052187043E+004	3.6572030E+000
2.008990443766730E+000	1.3607869E-001	5.315486052472028E+004	3.6575968E+000
2.011258571267418E+000	1.3608658E-001	5.321486052757013E+004	3.6580300E+000
2.013526702282073E+000	1.3608462E-001	5.327486053041997E+004	3.6585422E+000
2.015794830691243E+000	1.3608855E-001	5.333486053326982E+004	3.6588573E+000
2.018062956113376E+000	1.3608658E-001	5.339486053611967E+004	3.6593299E+000
2.020331083439828E+000	1.3609053E-001	5.345486053896951E+004	3.6596844E+000
2.022599206573409E+000	1.3608658E-001	5.351486054181936E+004	3.6600389E+000
2.024867330485383E+000	1.3608462E-001	5.357486054466921E+004	3.6602755E+000
2.027135452051287E+000	1.3608855E-001	5.363486054751906E+004	3.6603935E+000
2.029403574114119E+000	1.3608855E-001	5.369486055036890E+004	3.6603148E+000
2.031671696834374E+000	1.3608263E-001	5.375486055321875E+004	3.6605117E+000
2.033939821865467E+000	1.3610235E-001	5.381486055606860E+004	3.6606693E+000
2.036207945073313E+000	1.3610038E-001	5.387486055891844E+004	3.6608269E+000
2.038476064928720E+000	1.3608855E-001	5.393486056176829E+004	3.6609845E+000
2.040744183145919E+000	1.3608658E-001	5.399486056461814E+004	3.6612208E+000
2.043012302218493E+000	1.3607672E-001	5.405486056746799E+004	3.6613784E+000
2.045280424091675E+000	1.3609447E-001	5.411486057031783E+004	3.6614966E+000
2.047548546823578E+000	1.3609447E-001	5.417486057316768E+004	3.6616542E+000
2.049816670477506E+000	1.3609643E-001	5.423486057601753E+004	3.6618905E+000
2.052084796175766E+000	1.3608855E-001	5.429486057886737E+004	3.6619692E+000
2.054352919701992E+000	1.3609250E-001	5.435486058171722E+004	3.6623237E+000
2.056621042981321E+000	1.3608855E-001	5.441486058456707E+004	3.6625996E+000
2.058889170923365E+000	1.3608462E-001	5.447486058741692E+004	3.6626782E+000
2.061157299957060E+000	1.3608263E-001	5.453486059026676E+004	3.6629148E+000
2.063425430715374E+000	1.3608263E-001	5.459486059311661E+004	3.6631117E+000
2.065693560067200E+000	1.3609250E-001	5.465486059596646E+004	3.6633086E+000
2.067961692828296E+000	1.3609250E-001	5.471486059881630E+004	3.6635449E+000
2.070229827061709E+000	1.3608263E-001	5.477486060166615E+004	3.6637025E+000
2.072497964147892E+000	1.3608658E-001	5.483486060451600E+004	3.6640177E+000
2.074766103289607E+000	1.3608462E-001	5.489486060736584E+004	3.6642146E+000
2.077034240985985E+000	1.3609053E-001	5.495486061021569E+004	3.6644902E+000
2.079302379641856E+000	1.3609447E-001	5.501486061306554E+004	3.6646085E+000
2.081570511458251E+000	1.3608462E-001	5.507486061591539E+004	3.6650813E+000
2.083838641595832E+000	1.3608855E-001	5.513486061876523E+004	3.6656327E+000
2.086106769754556E+000	1.3609447E-001	5.519486062161508E+004	3.6659083E+000
2.088374895104476E+000	1.3608462E-001	5.525486062446493E+004	3.6663418E+000
2.090643020228926E+000	1.3609053E-001	5.531486062731477E+004	3.6667750E+000
2.092911145790641E+000	1.3607869E-001	5.537486063016462E+004	3.6670902E+000
2.095179271123517E+000	1.3608462E-001	5.543486063301447E+004	3.6672871E+000
2.097447393600005E+000	1.3609447E-001	5.549486063586432E+004	3.6674054E+000
2.099715517422367E+000	1.3609053E-001	5.555486063871416E+004	3.6676810E+000
2.101983640554357E+000	1.3607869E-001	5.561486064156401E+004	3.6676810E+000
2.104251767005573E+000	1.3608263E-001	5.567486064441386E+004	3.6677992E+000
2.106519889187233E+000	1.3608263E-001	5.573486064726370E+004	3.6679962E+000
2.108788011865169E+000	1.3608263E-001	5.579486065011355E+004	3.6681931E+000
2.111056137545763E+000	1.3608067E-001	5.585486065296340E+004	3.6683507E+000
2.113324262582213E+000	1.3609447E-001	5.591486065581325E+004	3.6686265E+000
2.115592390163069E+000	1.3608658E-001	5.597486065866309E+004	3.6687841E+000
2.117860520125081E+000	1.3608855E-001	5.603486066151294E+004	3.6689811E+000
2.120128649095868E+000	1.3607475E-001	5.609486066436279E+004	3.6691387E+000
2.122396780472712E+000	1.3608658E-001	5.615486066721263E+004	3.6693749E+000
2.124664912311468E+000	1.3609447E-001	5.621486067006248E+004	3.6696112E+000
2.126933041393732E+000	1.3607869E-001	5.627486067291233E+004	3.6698477E+000
2.129201173738614E+000	1.3608263E-001	5.633486067576217E+004	3.6699264E+000
2.131469306723674E+000	1.3608658E-001	5.639486067861202E+004	3.6701627E+000
2.133737439066818E+000	1.3608658E-001	5.645486068146187E+004	3.6703596E+000
2.136005573904349E+000	1.3609840E-001	5.651486068431172E+004	3.6705961E+000
2.138273714311396E+000	1.3608855E-001	5.657486068716156E+004	3.6706748E+000
2.140541852822146E+000	1.3608067E-001	5.663486069001141E+004	3.6709900E+000
2.142809992829048E+000	1.3609447E-001	5.669486069286126E+004	3.6711869E+000
2.145078132397441E+000	1.3607869E-001	5.675486069571110E+004	3.6714628E+000
